Generation,Best,Average,Worst
0,514.77,688.82,857.91
1,493.18,622.46,806.23
2,420.52,583.47,754.36
3,420.52,542.71,731.38
4,364.77,512.61,681.38
5,364.77,487.24,645.05
6,364.77,456.60,645.05
7,309.02,437.58,608.72
8,309.02,401.47,562.28
9,309.02,377.91,529.51
10,309.02,363.00,579.51
11,309.02,352.14,493.18
12,309.02,320.27,497.21
13,309.02,318.10,493.18
14,309.02,315.16,487.42
15,309.02,324.24,635.26
16,309.02,329.14,487.42
17,309.02,316.14,470.20
18,309.02,321.71,754.36
19,309.02,321.17,817.70
20,309.02,320.44,570.20
21,309.02,318.56,575.95
22,309.02,315.56,723.46
23,309.02,310.63,414.77
24,309.02,310.13,364.77
25,309.02,309.57,364.77
26,309.02,313.05,451.10
27,309.02,319.61,579.51
28,309.02,312.75,414.77
29,309.02,318.70,583.87
30,309.02,319.50,470.20
31,309.02,313.23,451.10
32,309.02,313.19,625.95
33,309.02,313.22,501.10
34,309.02,318.50,525.95
35,309.02,310.86,437.42
36,309.02,310.57,409.02
37,309.02,311.42,437.42
38,309.02,311.69,409.02
39,309.02,315.07,447.21
40,309.02,313.10,451.10
41,309.02,312.96,547.21
42,309.02,313.70,437.42
43,309.02,320.82,493.18
44,309.02,313.65,547.21
45,309.02,310.13,364.77
46,309.02,312.24,447.21
47,309.02,316.39,470.20
48,309.02,312.97,451.10
49,309.02,317.77,547.21
50,309.02,316.55,470.20
51,309.02,313.36,493.18
52,309.02,312.92,437.42
53,309.02,313.34,493.18
54,309.02,314.40,547.21
55,309.02,317.27,483.87
56,309.02,310.02,409.02
57,309.02,314.97,447.21
58,309.02,312.78,487.42
59,309.02,312.30,414.77
60,309.02,311.19,414.77
61,309.02,311.74,525.95
62,309.02,309.02,309.02
63,309.02,311.00,451.10
64,309.02,315.31,612.28
65,309.02,314.45,493.18
66,309.02,320.13,547.21
67,309.02,315.35,470.20
68,309.02,316.81,547.21
69,309.02,309.57,364.77
70,309.02,315.24,451.10
71,309.02,313.22,551.10
72,309.02,314.03,470.20
73,309.02,312.40,547.21
74,309.02,309.57,364.77
75,309.02,314.24,447.21
76,309.02,313.66,451.10
77,309.02,315.18,565.83
78,309.02,314.03,470.20
79,309.02,314.43,493.18
80,309.02,314.59,493.18
81,309.02,310.86,437.42
82,309.02,316.18,447.21
83,309.02,310.30,437.42
84,309.02,312.86,487.42
85,309.02,311.96,547.21
86,309.02,315.93,487.42
87,309.02,310.69,364.77
88,309.02,313.01,565.83
89,309.02,313.34,447.21
90,309.02,311.69,409.02
91,309.02,309.02,309.02
92,309.02,313.33,470.20
93,309.02,310.13,364.77
94,309.02,313.36,493.18
95,309.02,316.22,662.28
96,309.02,315.82,437.42
97,309.02,309.02,309.02
98,309.02,309.57,364.77
99,309.02,310.30,437.42
100,309.02,311.92,437.42
101,309.02,316.64,501.10
102,309.02,311.30,437.42
103,309.02,314.62,451.10
104,309.02,311.00,451.10
105,309.02,313.05,451.10
106,309.02,312.42,437.42
107,309.02,311.00,451.10
108,309.02,316.12,487.42
109,309.02,312.97,470.52
110,309.02,316.00,547.21
111,309.02,311.07,414.77
112,309.02,313.03,470.20
113,309.02,310.57,409.02
114,309.02,311.59,437.42
115,309.02,318.18,625.95
116,309.02,319.54,606.85
117,309.02,314.30,470.20
118,309.02,310.40,447.21
119,309.02,311.50,451.10
120,309.02,316.34,547.21
121,309.02,316.46,493.18
122,309.02,312.84,493.18
123,309.02,313.34,579.51
124,309.02,311.36,437.42
125,309.02,318.49,583.87
126,309.02,313.76,572.07
127,309.02,310.63,414.77
128,309.02,322.30,768.03
129,309.02,312.44,451.10
130,309.02,314.95,556.52
131,309.02,310.96,447.21
132,309.02,318.22,601.10
133,309.02,310.57,409.02
134,309.02,311.96,547.21
135,309.02,311.86,437.42
136,309.02,311.00,506.85
137,309.02,315.91,470.20
138,309.02,316.22,547.21
139,309.02,315.62,543.18
140,309.02,310.30,437.42
141,309.02,314.45,493.18
142,309.02,310.07,414.77
143,309.02,311.92,437.42
144,309.02,311.36,487.42
145,309.02,315.46,736.80
146,309.02,317.33,487.42
147,309.02,317.33,712.28
148,309.02,316.89,547.21
149,309.02,311.72,451.10
150,309.02,310.30,437.42
151,309.02,313.97,470.20
152,309.02,312.93,645.05
153,309.02,311.44,451.10
154,309.02,315.00,493.18
155,309.02,310.63,414.77
156,309.02,312.01,447.21
157,309.02,313.05,470.20
158,309.02,317.14,547.21
159,309.02,312.64,487.42
160,309.02,314.08,447.21
161,309.02,314.10,547.21
162,309.02,311.36,437.42
163,309.02,318.09,671.59
164,309.02,315.35,547.21
165,309.02,314.25,487.42
166,309.02,314.22,506.85
167,309.02,315.87,565.83
168,309.02,310.40,447.21
169,309.02,316.51,547.21
170,309.02,311.40,547.21
171,309.02,309.02,309.02
172,309.02,313.05,470.20
173,309.02,315.43,451.10
174,309.02,312.40,447.21
175,309.02,317.50,734.93
176,309.02,316.37,621.59
177,309.02,318.86,668.03
178,309.02,314.80,547.21
179,309.02,313.53,493.18
180,309.02,310.86,437.42
181,309.02,315.63,514.77
182,309.02,310.86,437.42
183,309.02,318.69,520.20
184,309.02,318.51,547.21
185,309.02,317.55,689.62
186,309.02,317.10,470.20
187,309.02,311.86,437.42
188,309.02,312.00,451.10
189,309.02,312.59,565.83
190,309.02,311.30,437.42
191,309.02,311.82,451.10
192,309.02,312.97,437.42
193,309.02,316.08,447.21
194,309.02,310.02,409.02
195,309.02,314.34,451.10
